RP:1	PR:LOC:(63548356,63556669)@chr19@Human
RP:10165	PR:LOC:(95394184,95596056)@chr7@Human
RP:10166	PR:LOC:(40261728,40284579)@chr13@Human
RP:10168	PR:LOC:(44645647,44661758)@chr3@Human
RP:10169	PR:LOC:(41856588,41873533)@chr15@Human
RP:1017	PR:LOC:(54646826,54652835)@chr12@Human
RP:10170	PR:LOC:(169746806,169778184)@chr2@Human
RP:10171	PR:LOC:(4782937,4851061)@chr9@Human
RP:10172	PR:LOC:(63144015,63150889)@chr19@Human
RP:10174	PR:LOC:(22465394,22488959)@chr8@Human
RP:10175	PR:LOC:(53963401,53977851)@chr14@Human
RP:10178	PR:LOC:(123239870,123823201)@chrX@Human
RP:10179	PR:LOC:(113776594,113784845)@chr11@Human
RP:1018	PR:LOC:(71509014,71513251)@chr17@Human
RP:10180	PR:LOC:(49952596,50089686)@chr3@Human
RP:10181	PR:LOC:(50101372,50131397)@chr3@Human
RP:10184	PR:LOC:(77816810,77841867)@chr5@Human
RP:10186	PR:LOC:(38815031,39075201)@chr13@Human
RP:10187	PR:LOC:(53482902,53482952)@chr12@Human
RP:10188	PR:LOC:(197078545,197124265)@chr3@Human
RP:10189	PR:LOC:(77439016,77442750)@chr17@Human
RP:1019	PR:LOC:(56428270,56432431)@chr12@Human
RP:10190	PR:LOC:(99394007,99411378)@chr2@Human
RP:10193	PR:LOC:(54884555,54902002)@chr12@Human
RP:10194	PR:LOC:(71125161,71130666)@chr18@Human
RP:10195	PR:LOC:(185442915,185449436)@chr3@Human
RP:10196	PR:LOC:(20365679,20487349)@chr11@Human
RP:10197	PR:LOC:(38238949,38249303)@chr17@Human
RP:10198	PR:LOC:(122165828,122231321)@chr12@Human
RP:10199	PR:LOC:(71269099,71288885)@chr2@Human
RP:102	PR:LOC:(56676369,56829469)@chr15@Human
RP:1020	PR:LOC:(150188547,150192644)@chr7@Human
RP:10200	PR:LOC:(80739273,80761313)@chr16@Human
RP:10201	PR:LOC:(48310596,48317852)@chr3@Human
RP:10202	PR:LOC:(23175422,23184688)@chr14@Human
RP:10203	PR:LOC:(188035338,188138484)@chr2@Human
RP:10204	PR:LOC:(66438320,66462720)@chr16@Human
RP:10205	PR:LOC:(117629345,117640219)@chr11@Human
RP:10206	PR:LOC:(49469144,49490604)@chr13@Human
RP:10207	PR:LOC:(61920170,62326083)@chr1@Human
RP:10208	PR:LOC:(30089920,30131686)@chr13@Human
RP:10209	PR:LOC:(37098669,37101422)@chr17@Human
RP:1021	PR:LOC:(91878886,92107863)@chr7@Human
RP:10210	PR:LOC:(32530543,32542601)@chr9@Human
RP:10211	PR:LOC:(30803492,30818432)@chr6@Human
RP:10212	PR:LOC:(14380633,14391171)@chr19@Human
RP:10213	PR:LOC:(161990447,162093433)@chr2@Human
RP:10214	PR:LOC:(47962117,47972396)@chrX@Human
RP:10215	PR:LOC:(33320163,33323371)@chr21@Human
RP:10216	PR:LOC:(182997639,183015345)@chr1@Human
RP:10217	PR:LOC:(37878129,38000963)@chr3@Human
RP:10218	PR:LOC:(11183664,11190304)@chr1@Human
RP:10219	PR:LOC:(9033488,9054610)@chr12@Human
RP:1022	PR:LOC:(68566471,68609006)@chr5@Human
RP:10220	PR:LOC:(54423331,54430332)@chr12@Human
RP:10221	PR:LOC:(126511745,126519827)@chr8@Human
RP:10223	PR:LOC:(163753740,163791526)@chr1@Human
RP:10224	PR:LOC:(12401520,12412824)@chr19@Human
RP:10225	PR:LOC:(112743546,112853906)@chr3@Human
RP:10226	PR:LOC:(4789354,4818669)@chr19@Human
RP:10227	PR:LOC:(2969300,2972774)@chr4@Human
RP:10228	PR:LOC:(177676761,177723637)@chr1@Human
RP:10229	PR:LOC:(18986428,18998855)@chr16@Human
RP:10230	PR:LOC:(38531153,38550656)@chr17@Human
RP:10231	PR:LOC:(46296434,46401364)@chr6@Human
RP:10232	PR:LOC:(751097,758866)@chr16@Human
RP:10233	PR:LOC:(6884213,6893667)@chr12@Human
RP:10234	PR:LOC:(102147403,102179347)@chr7@Human
RP:10235	PR:LOC:(64250959,64269504)@chr11@Human
RP:10236	PR:LOC:(23381582,23416090)@chr1@Human
RP:10237	PR:LOC:(45133689,45140281)@chr17@Human
RP:10238	PR:LOC:(58981699,59020532)@chr17@Human
RP:10239	PR:LOC:(88177793,88238206)@chr15@Human
RP:1024	PR:LOC:(25726756,25876569)@chr13@Human
RP:10240	PR:LOC:(40201433,40243293)@chr13@Human
RP:10241	PR:LOC:(44263371,44297228)@chr17@Human
RP:10242	PR:LOC:(179736926,180044919)@chr3@Human
RP:10243	PR:LOC:(66044987,66718273)@chr14@Human
RP:10244	PR:LOC:(125042607,125075992)@chr9@Human
RP:10245	PR:LOC:(48506980,48511674)@chrX@Human
RP:10246	PR:LOC:(26020965,26038818)@chr6@Human
RP:10247	PR:LOC:(99183748,99198594)@chr8@Human
RP:10248	PR:LOC:(99948420,99949769)@chr7@Human
RP:10249	PR:LOC:(58232807,58256023)@chr11@Human
RP:1025	PR:LOC:(127627885,127631917)@chr9@Human
RP:10250	PR:LOC:(24714900,24745067)@chr1@Human
RP:10251	PR:LOC:(154561155,154575821)@chrX@Human
RP:10251	PR:LOC:(57438582,57453248)@chrY@Human
RP:10252	PR:LOC:(124675561,124682515)@chr4@Human
RP:10253	PR:LOC:(79808115,79813087)@chr13@Human
RP:10254	PR:LOC:(152800615,152858014)@chr2@Human
RP:10255	PR:LOC:(30050871,30054159)@chr6@Human
RP:10256	PR:LOC:(26188145,26200517)@chr1@Human
RP:10257	PR:LOC:(94470091,94751684)@chr13@Human
RP:1026	PR:LOC:(36754465,36763087)@chr6@Human
RP:10260	PR:LOC:(63740596,63871640)@chr15@Human
RP:10261	PR:LOC:(21560115,21571464)@chr16@Human
RP:10262	PR:LOC:(146708284,146712775)@chr1@Human
RP:10263	PR:LOC:(67030545,67032678)@chr11@Human
RP:10265	PR:LOC:(53522612,53525898)@chr16@Human
RP:10266	PR:LOC:(38166738,38168580)@chr17@Human
RP:10267	PR:LOC:(238550287,238602746)@chr2@Human
RP:10268	PR:LOC:(44970639,44997087)@chr7@Human
RP:10269	PR:LOC:(40392872,40428944)@chr1@Human
RP:1027	PR:LOC:(12761576,12766570)@chr12@Human
RP:10270	PR:LOC:(15325337,15351603)@chr19@Human
RP:10272	PR:LOC:(627417,634389)@chr19@Human
RP:10273	PR:LOC:(670471,672747)@chr16@Human
RP:10274	PR:LOC:(137539635,137953907)@chr3@Human
RP:10276	PR:LOC:(5478583,5490414)@chr10@Human
RP:10277	PR:LOC:(10027309,10175563)@chr1@Human
RP:10278	PR:LOC:(22895452,22904682)@chr14@Human
RP:10279	PR:LOC:(27323487,27332229)@chr6@Human
RP:1028	PR:LOC:(2861452,2863551)@chr11@Human
RP:10280	PR:LOC:(34624720,34627768)@chr9@Human
RP:10281	PR:LOC:(38348183,38348952)@chr21@Human
RP:10282	PR:LOC:(93267214,93278341)@chr7@Human
RP:10283	PR:LOC:(64100550,64350161)@chr5@Human
RP:10284	PR:LOC:(20612685,20620977)@chr13@Human
RP:10285	PR:LOC:(112042789,112054687)@chr10@Human
RP:10286	PR:LOC:(114822227,114836302)@chr1@Human
RP:10287	PR:LOC:(62174978,62181304)@chr20@Human
RP:10288	PR:LOC:(59470132,59476762)@chr19@Human
RP:10289	PR:LOC:(40326194,40328902)@chr3@Human
RP:1029	PR:LOC:(21957752,21984490)@chr9@Human
RP:10290	PR:LOC:(220133901,220157089)@chr2@Human
RP:10291	PR:LOC:(29054724,29077457)@chr22@Human
RP:10293	PR:LOC:(49841032,49868996)@chr3@Human
RP:10294	PR:LOC:(45547796,45565036)@chr16@Human
RP:10295	PR:LOC:(31027223,31031422)@chr16@Human
RP:10296	PR:LOC:(1273543,1323724)@chr4@Human
RP:10297	PR:LOC:(1402288,1424237)@chr19@Human
RP:10298	PR:LOC:(44308301,44361882)@chr19@Human
RP:10299	PR:LOC:(10406828,10488491)@chr5@Human
RP:103	PR:LOC:(151367613,151393742)@chr1@Human
RP:1030	PR:LOC:(21992903,21999312)@chr9@Human
RP:10300	PR:LOC:(56328618,56348657)@chr16@Human
RP:10301	PR:LOC:(49554308,49577434)@chr13@Human
RP:10302	PR:LOC:(64573828,64577123)@chr15@Human
RP:10307	PR:LOC:(139918038,139924373)@chr5@Human
RP:10308	PR:LOC:(31792664,31836128)@chr16@Human
RP:10309	PR:LOC:(54562740,54564476)@chr5@Human
RP:1031	PR:LOC:(51146388,51152327)@chr1@Human
RP:10311	PR:LOC:(37517596,37561703)@chr21@Human
RP:10312	PR:LOC:(67563059,67574942)@chr11@Human
RP:10313	PR:LOC:(63205498,63283939)@chr11@Human
RP:10314	PR:LOC:(211121482,211166937)@chr2@Human
RP:10316	PR:LOC:(232213377,232220713)@chr2@Human
RP:10317	PR:LOC:(39951124,39956685)@chr21@Human
RP:10318	PR:LOC:(150389710,150440842)@chr5@Human
RP:10319	PR:LOC:(130914058,130997000)@chr9@Human
RP:1032	PR:LOC:(10538139,10540655)@chr19@Human
RP:10320	PR:LOC:(50218440,50244768)@chr7@Human
RP:10321	PR:LOC:(49803048,49813070)@chr6@Human
RP:10322	PR:LOC:(73353038,73366004)@chr2@Human
RP:10324	PR:LOC:(170191719,170208279)@chr2@Human
RP:10325	PR:LOC:(55627200,55668228)@chrX@Human
RP:10326	PR:LOC:(1491568,1548630)@chr20@Human
RP:10327	PR:LOC:(45685591,45704814)@chr1@Human
RP:10328	PR:LOC:(84369738,84390601)@chr16@Human
RP:10329	PR:LOC:(62459904,62489154)@chr12@Human
RP:1033	PR:LOC:(53933476,53956682)@chr14@Human
RP:10330	PR:LOC:(54990484,54996387)@chr12@Human
RP:10331	PR:LOC:(17766949,17784890)@chr19@Human
RP:10332	PR:LOC:(7734081,7740491)@chr19@Human
RP:10333	PR:LOC:(38650974,38653726)@chr4@Human
RP:10335	PR:LOC:(10553883,10672111)@chr11@Human
RP:10336	PR:LOC:(689573,754258)@chr4@Human
RP:10337	PR:LOC:(27882924,27883094)@chr6@Human
RP:10338	PR:LOC:(26124314,26125048)@chr6@Human
RP:10340	PR:LOC:(27939819,27940158)@chr6@Human
RP:10341	PR:LOC:(26152107,26152757)@chr6@Human
RP:10342	PR:LOC:(101910986,101950498)@chr3@Human
RP:10343	PR:LOC:(44972079,44979738)@chr22@Human
RP:10344	PR:LOC:(75043493,75046225)@chr7@Human
RP:10345	PR:LOC:(123580715,123933976)@chr6@Human
RP:10346	PR:LOC:(5667664,5688669)@chr11@Human
RP:10347	PR:LOC:(992245,1016571)@chr19@Human
RP:10349	PR:LOC:(64655744,64752551)@chr17@Human
RP:10350	PR:LOC:(64482577,64568731)@chr17@Human
RP:10351	PR:LOC:(64375028,64463128)@chr17@Human
RP:10352	PR:LOC:(119285883,119395329)@chr1@Human
RP:10354	PR:LOC:(22398314,22398955)@chr3@Human
RP:10356	PR:LOC:(231205861,231206306)@chr2@Human
RP:1036	PR:LOC:(115168331,115180243)@chr5@Human
RP:10360	PR:LOC:(103531073,103533148)@chr10@Human
RP:10361	PR:LOC:(21938300,21950354)@chr8@Human
RP:10362	PR:LOC:(3525522,3530081)@chr19@Human
RP:10363	PR:LOC:(75500298,75565000)@chr15@Human
RP:10365	PR:LOC:(16296651,16299337)@chr19@Human
RP:10367	PR:LOC:(73797104,74055843)@chr10@Human
RP:10368	PR:LOC:(24174377,24281238)@chr16@Human
RP:10369	PR:LOC:(35284604,35423403)@chr22@Human
RP:10370	PR:LOC:(139735092,139737433)@chr6@Human
RP:10371	PR:LOC:(83235141,83468563)@chr7@Human
RP:10376	PR:LOC:(47807835,47809773)@chr12@Human
RP:10379	PR:LOC:(23701193,23705612)@chr14@Human
RP:1038	PR:LOC:(139590945,139592243)@chrX@Human
RP:10380	PR:LOC:(216619221,216651579)@chr1@Human
RP:10381	PR:LOC:(88517311,88530006)@chr16@Human
RP:10382	PR:LOC:(6445331,6453330)@chr19@Human
RP:10383	PR:LOC:(137411601,137413996)@chr9@Human
RP:10384	PR:LOC:(26548742,26561622)@chr6@Human
RP:10385	PR:LOC:(26491333,26503081)@chr6@Human
RP:10388	PR:LOC:(57872014,57940604)@chr20@Human
RP:10389	PR:LOC:(18017091,18132435)@chrX@Human
RP:1039	PR:LOC:(22264760,22293421)@chr16@Human
RP:10390	PR:LOC:(111394924,111439766)@chr1@Human
RP:10391	PR:LOC:(66724546,66807194)@chr15@Human
RP:103910	PR:LOC:(3252135,3268179)@chr18@Human
RP:103911	PR:LOC:(10102763,10103309)@chr17@Human
RP:10392	PR:LOC:(30237390,30291505)@chr7@Human
RP:10393	PR:LOC:(146273916,146376946)@chr4@Human
RP:10394	PR:LOC:(56900819,56905199)@chr11@Human
RP:10395	PR:LOC:(12985243,13416766)@chr8@Human
RP:10396	PR:LOC:(42255563,42499818)@chr4@Human
RP:10397	PR:LOC:(134318596,134378680)@chr8@Human
RP:10398	PR:LOC:(34603311,34611640)@chr20@Human
RP:10399	PR:LOC:(180596538,180603502)@chr5@Human
RP:104	PR:LOC:(45318943,45470902)@chr21@Human
RP:1040	PR:LOC:(85861236,85927534)@chr4@Human
RP:10400	PR:LOC:(17349602,17435719)@chr17@Human
RP:10401	PR:LOC:(143065076,143075590)@chr1@Human
RP:10402	PR:LOC:(99934262,99995927)@chr3@Human
RP:10403	PR:LOC:(2561604,2606629)@chr18@Human
RP:10404	PR:LOC:(97726675,98224900)@chr8@Human
RP:10406	PR:LOC:(43531808,43543586)@chr20@Human
RP:10407	PR:LOC:(7292686,7308602)@chr8@Human
RP:10408	PR:LOC:(16026985,16032453)@chr2@Human
RP:10409	PR:LOC:(17270750,17329943)@chr5@Human
RP:1041	PR:LOC:(31191341,31196189)@chr6@Human
RP:10410	PR:LOC:(309669,311050)@chr11@Human
RP:10411	PR:LOC:(46417294,46438822)@chr12@Human
RP:10412	PR:LOC:(74098859,74108490)@chr5@Human
RP:10413	PR:LOC:(101486541,101609359)@chr11@Human
RP:10414	PR:LOC:(46182856,46185000)@chr17@Human
RP:10415	PR:LOC:(210498964,210500629)@chr2@Human
RP:10417	PR:LOC:(1150553,1156432)@chr4@Human
RP:10418	PR:LOC:(13940814,14245926)@chr11@Human
RP:10419	PR:LOC:(22459579,22468501)@chr14@Human
RP:10420	PR:LOC:(45478649,45625926)@chr1@Human
RP:10421	PR:LOC:(30271670,30274128)@chr16@Human
RP:10422	PR:LOC:(136050760,136079130)@chr9@Human
RP:10423	PR:LOC:(29777180,29782012)@chr16@Human
RP:10424	PR:LOC:(129548900,129566555)@chr4@Human
RP:10425	PR:LOC:(48935202,48997973)@chr3@Human
RP:10426	PR:LOC:(112187326,112290482)@chr13@Human
RP:10427	PR:LOC:(110712475,110819216)@chr4@Human
RP:10428	PR:LOC:(73885116,74024860)@chr16@Human
RP:1043	PR:LOC:(26328627,26331156)@chr1@Human
RP:10430	PR:LOC:(40728385,40730268)@chr19@Human
RP:10431	PR:LOC:(51262096,51293342)@chr10@Human
RP:10432	PR:LOC:(66140689,66151390)@chr11@Human
RP:10434	PR:LOC:(55121492,55177130)@chr8@Human
RP:10435	PR:LOC:(64838907,64846476)@chr11@Human
RP:10436	PR:LOC:(6950254,6955400)@chr12@Human
RP:10437	PR:LOC:(18145579,18149927)@chr19@Human
RP:10438	PR:LOC:(68180989,68201781)@chr2@Human
RP:10439	PR:LOC:(135193116,135238969)@chr9@Human
RP:1044	PR:LOC:(149526552,149544256)@chr5@Human
RP:10440	PR:LOC:(198656305,198671446)@chr1@Human
RP:10443	PR:LOC:(31989031,32010919)@chr13@Human
RP:10444	PR:LOC:(128571623,128613752)@chr9@Human
RP:10445	PR:LOC:(48238355,48248178)@chr12@Human
RP:10446	PR:LOC:(201317962,201386254)@chr1@Human
RP:10447	PR:LOC:(120582858,120630292)@chr7@Human
RP:10449	PR:LOC:(45563873,45593900)@chr18@Human
RP:1045	PR:LOC:(27434279,27441317)@chr13@Human
RP:10450	PR:LOC:(39873623,39898679)@chr1@Human
RP:10451	PR:LOC:(107825832,108219580)@chr1@Human
RP:10452	PR:LOC:(50086334,50098783)@chr19@Human
RP:10454	PR:LOC:(38120259,38157632)@chr22@Human
RP:10455	PR:LOC:(4060927,4080830)@chr6@Human
RP:10456	PR:LOC:(151058112,151061424)@chr1@Human
RP:10457	PR:LOC:(23059626,23087967)@chr7@Human
RP:10458	PR:LOC:(76623557,76705827)@chr17@Human
RP:10459	PR:LOC:(11668803,11675459)@chr1@Human
RP:1046	PR:LOC:(72450111,72457442)@chrX@Human
RP:10460	PR:LOC:(1690495,1714129)@chr4@Human
RP:10461	PR:LOC:(112372416,112503174)@chr2@Human
RP:10462	PR:LOC:(6918581,6924272)@chr17@Human
RP:10463	PR:LOC:(41833477,41930466)@chr4@Human
RP:10464	PR:LOC:(72255609,72488058)@chr13@Human
RP:10465	PR:LOC:(42793141,42811522)@chr1@Human
RP:10466	PR:LOC:(106436942,106798436)@chr7@Human
RP:10467	PR:LOC:(100454420,100460906)@chr7@Human
RP:10468	PR:LOC:(52812352,52817680)@chr5@Human
RP:10469	PR:LOC:(7897604,7914538)@chr19@Human
RP:1047	PR:LOC:(141667214,141706387)@chr4@Human
RP:10470	PR:LOC:(33360101,33360445)@chr6@Human
RP:10471	PR:LOC:(33365356,33366689)@chr6@Human
RP:10472	PR:LOC:(240540626,240546819)@chr1@Human
RP:10473	PR:LOC:(26646551,26655144)@chr6@Human
RP:10474	PR:LOC:(9796658,9809420)@chr3@Human
RP:10475	PR:LOC:(26071050,26093337)@chr6@Human
RP:10476	PR:LOC:(70546553,70554650)@chr17@Human
RP:10477	PR:LOC:(181670618,181753656)@chr2@Human
RP:10478	PR:LOC:(39490141,39539892)@chr22@Human
RP:10479	PR:LOC:(134793147,134854812)@chrX@Human
RP:1048	PR:LOC:(46904377,46925686)@chr19@Human
RP:10480	PR:LOC:(32561963,32580595)@chr11@Human
RP:10481	PR:LOC:(44158867,44161084)@chr17@Human
RP:10482	PR:LOC:(62316220,62329529)@chr11@Human
RP:10483	PR:LOC:(18436216,18489766)@chr20@Human
